,Open,High,Low,Close,Adj Close,Volume,Return,20D_MA,50D_MA,200D_MA,Momentum,Volatility,RSI,GDP,Interest Rate,PCE,UNRATE,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,ADS_Lag1,ADS_Rolling
2020-06-30,437.707275390625,444.64136297052556,430.8204539905895,438.9777277166193,438.9777277166193,5330904.545454546,0.003874464866750214,431.87741033380684,422.75572703968396,436.9865498860677,9.12168329412287,0.018309413249052678,0.01858063545634792,19935.444,0.08,14040.8,11.0,2.46,1.97,-2.23,0.13,0.53,0.01,8.949038333333334,1.7861329354838709,-4.034514021505376
2020-07-01,437.707275390625,444.64136297052556,430.8204539905895,438.9777277166193,438.9777277166193,5330904.545454546,0.003874464866750214,431.87741033380684,422.75572703968396,436.9865498860677,9.12168329412287,0.018309413249052678,0.01858063545634792,19935.444,0.08,14040.8,11.0,5.77,-3.18,-1.44,0.4,1.03,0.01,8.949038333333334,1.7861329354838709,-4.034514021505376
2020-07-31,498.0068151300604,508.39000216397375,487.5881819291548,499.3850028298118,499.3850028298118,10554831.818181818,0.0037572795500576987,479.40377509377225,451.31614698930224,436.9865498860677,28.087628104469992,0.027678509997046744,0.03238629153413001,21684.551,0.1,14303.8,10.2,5.77,-3.18,-1.44,0.4,1.03,0.01,5.871789677419355,8.949038333333334,5.5356536487455195
2020-08-01,498.0068151300604,508.39000216397375,487.5881819291548,499.3850028298118,499.3850028298118,10554831.818181818,0.0037572795500576987,479.40377509377225,451.31614698930224,436.9865498860677,28.087628104469992,0.027678509997046744,0.03238629153413001,21684.551,0.1,14303.8,10.2,7.63,-0.95,-2.88,4.33,-1.26,0.01,5.871789677419355,8.949038333333334,5.5356536487455195
2020-08-31,496.3857131231399,504.95237949916293,489.9014296758743,498.07476225353423,498.07476225353423,5536280.952380952,0.004283601798438563,494.1203334263393,478.7480297851563,436.9865498860677,15.37230364118304,0.02783760030071243,0.023464900620059653,21684.551,0.09,14454.9,8.4,7.63,-0.95,-2.88,4.33,-1.26,0.01,3.172549677419355,5.871789677419355,5.9977925627240145
2020-09-01,496.3857131231399,504.95237949916293,489.9014296758743,498.07476225353423,498.07476225353423,5536280.952380952,0.004283601798438563,494.1203334263393,478.7480297851563,436.9865498860677,15.37230364118304,0.02783760030071243,0.023464900620059653,21684.551,0.09,14454.9,8.4,-3.63,-0.05,-2.65,-1.28,-1.96,0.01,3.172549677419355,5.871789677419355,5.9977925627240145
2020-09-30,496.9109540666853,505.3152393159412,484.8838108607701,495.55333310081846,495.55333310081846,5656995.238095238,-0.0023799391669766154,503.7670250302269,498.51406764439173,436.9865498860677,5.252957385835197,0.03165798554154343,0.03322018490544508,21684.551,0.09,14675.4,7.8,-3.63,-0.05,-2.65,-1.28,-1.96,0.01,1.5401366666666665,3.172549677419355,3.5281586738351254
2020-10-01,496.9109540666853,505.3152393159412,484.8838108607701,495.55333310081846,495.55333310081846,5656995.238095238,-0.0023799391669766154,503.7670250302269,498.51406764439173,436.9865498860677,5.252957385835197,0.03165798554154343,0.03322018490544508,21684.551,0.09,14675.4,7.8,-2.1,4.54,4.31,-0.76,-0.88,0.01,1.5401366666666665,3.172549677419355,3.5281586738351254
2020-10-31,517.6018163507634,525.9418210116299,507.481821233576,515.1418137983842,515.1418137983842,7013745.454545454,-0.001762258513273405,506.93797565806994,502.9709724842418,436.9865498860677,3.967003173828118,0.030330456429944554,0.029049309889318378,22068.767,0.09,14726.0,6.8,-2.1,4.54,4.31,-0.76,-0.88,0.01,0.8744954193548388,1.5401366666666665,1.8623939211469533
2020-11-01,517.6018163507634,525.9418210116299,507.481821233576,515.1418137983842,515.1418137983842,7013745.454545454,-0.001762258513273405,506.93797565806994,502.9709724842418,436.9865498860677,3.967003173828118,0.030330456429944554,0.029049309889318378,22068.767,0.09,14726.0,6.8,12.47,7.05,2.15,-2.22,1.28,0.01,0.8744954193548388,1.5401366666666665,1.8623939211469533
2020-11-30,486.9179977416992,493.65149688720703,480.5270034790039,487.4440002441406,487.4440002441406,4589445.0,0.0018438585538990415,496.462696685791,501.65115814208986,448.58937957000734,-5.18846145629883,0.029119866686617223,0.029643284455418965,22068.767,0.09,14704.9,6.7,12.47,7.05,2.15,-2.22,1.28,0.01,0.15917189533333334,0.8744954193548388,0.8579346604516128
2020-12-01,486.9179977416992,493.65149688720703,480.5270034790039,487.4440002441406,487.4440002441406,4589445.0,0.0018438585538990415,496.462696685791,501.65115814208986,448.58937957000734,-5.18846145629883,0.029119866686617223,0.029643284455418965,22068.767,0.09,14704.9,6.7,4.63,4.7,-1.34,-1.88,-0.26,0.01,0.15917189533333334,0.8744954193548388,0.8579346604516128
2020-12-31,514.0140935724431,522.0981778231534,508.1786415793679,516.5690904097123,516.5690904097123,3525640.909090909,0.004595047043910394,500.20236386385835,501.35105271772903,462.2821677537398,-1.1486888538707427,0.022068242819817032,0.01750767351526126,22068.767,0.09,14827.3,6.7,4.63,4.7,-1.34,-1.88,-0.26,0.01,0.31123360645161285,0.15917189533333334,0.44830030704659496
2021-01-01,514.0140935724431,522.0981778231534,508.1786415793679,516.5690904097123,516.5690904097123,3525640.909090909,0.004595047043910394,500.20236386385835,501.35105271772903,462.2821677537398,-1.1486888538707427,0.022068242819817032,0.01750767351526126,22068.767,0.09,14827.3,6.7,-0.03,7.08,2.85,-3.92,5.18,0.01,0.31123360645161285,0.15917189533333334,0.44830030704659496
2021-01-31,530.531050832648,537.8389442845395,519.8542143169202,526.816844739412,526.816844739412,7367821.052631579,0.00016026014081301016,520.930525689376,506.13282072368423,479.51026029887953,14.797704965691809,0.027040692692317483,0.033486360695972786,22656.793,0.07,15081.5,6.4,-0.03,7.08,2.85,-3.92,5.18,0.01,0.3795035219354839,0.31123360645161285,0.28330300790681
2021-02-01,530.531050832648,537.8389442845395,519.8542143169202,526.816844739412,526.816844739412,7367821.052631579,0.00016026014081301016,520.930525689376,506.13282072368423,479.51026029887953,14.797704965691809,0.027040692692317483,0.033486360695972786,22656.793,0.07,15081.5,6.4,2.78,4.56,7.1,0.39,-1.95,0.0,0.3795035219354839,0.31123360645161285,0.28330300790681
2021-02-28,547.7773662366366,555.4942048725329,540.6215756064967,548.9599994860197,548.9599994860197,3258015.789473684,0.0007250855194857435,542.4722118176912,526.6704109272205,492.65452375713147,15.801800890470801,0.03770382929954643,0.028646281838495942,22656.793,0.07,14984.4,6.2,2.78,4.56,7.1,0.39,-1.95,0.0,-1.0634413571428571,0.3795035219354839,-0.12423474291858679
2021-03-01,547.7773662366366,555.4942048725329,540.6215756064967,548.9599994860197,548.9599994860197,3258015.789473684,0.0007250855194857435,542.4722118176912,526.6704109272205,492.65452375713147,15.801800890470801,0.03770382929954643,0.028646281838495942,22656.793,0.07,14984.4,6.2,3.08,-0.78,7.27,6.34,3.57,0.0,-1.0634413571428571,0.3795035219354839,-0.12423474291858679
2021-03-31,519.4291342030401,527.0573902959409,511.3260896102242,518.1234820822011,518.1234820822011,3921039.1304347827,-0.0011321647763623591,531.3657434878141,534.5948457933509,503.23654181438945,-3.229102305536685,0.02298898973801674,0.02231327530826652,22656.793,0.06,15712.4,6.1,3.08,-0.78,7.27,6.34,3.57,0.0,1.4064861387096774,-1.0634413571428571,0.24084943450076804
2021-04-01,519.4291342030401,527.0573902959409,511.3260896102242,518.1234820822011,518.1234820822011,3921039.1304347827,-0.0011321647763623591,531.3657434878141,534.5948457933509,503.23654181438945,-3.229102305536685,0.02298898973801674,0.02231327530826652,22656.793,0.06,15712.4,6.1,4.93,-3.16,-0.95,2.47,-2.71,0.0,1.4064861387096774,-1.0634413571428571,0.24084943450076804
